Latitude,Longitude,district_name,state_name,total_crimes_sum,num_years,risk_level
7.0,93.75,Nicobars,andaman and nicobar islands,141.0,6,Low Risk
8.327981399999999,77.35411726732715,Kanniyakumari,tamil nadu,1274.0,6,Low Risk
8.4882267,76.947551,Thiruvananthapuram,kerala,9831.0,24,High Risk
8.7284271,77.7112925,Tirunelveli,tamil nadu,1694.0,12,Low Risk
8.8059955,78.1553488,Tuticorin,tamil nadu,1342.0,6,Low Risk
8.8872399,76.5908768,Kollam,kerala,7453.0,12,High Risk
9.0933908,77.47583730587374,Tenkasi,tamil nadu,504.0,3,Low Risk
9.2780841,76.97374429915658,Pathanamthitta,kerala,2695.0,6,Medium Risk
9.4926289,77.86318306460637,Virudhunagar,tamil nadu,1003.0,6,Low Risk
9.5006651,76.41241428564258,Alappuzha,kerala,3946.0,6,Medium Risk
9.5205576,78.51846345155016,Ramanathapuram,tamil nadu,820.0,6,Low Risk
9.6287383,76.64553257390992,Kottayam,kerala,3188.0,6,Medium Risk
9.8154785,76.99915994809137,Idukki,kerala,3082.0,6,Medium Risk
9.8486881,78.4870461,Sivaganga,tamil nadu,1048.0,6,Low Risk
9.86925575,77.42229738345591,Theni,tamil nadu,1213.0,6,Low Risk
9.9261153,78.1140983,Madurai,tamil nadu,2905.0,12,Medium Risk
9.98408,76.2741457,Ernakulam,kerala,7860.0,12,High Risk
10.2903072,78.81736165831396,Pudukkottai,tamil nadu,857.0,6,Low Risk
10.3973043,76.26342265409721,West,delhi,5835.0,6,High Risk
10.42568965,77.815663999998,Dindigul,tamil nadu,1328.0,6,Low Risk
10.5270099,76.214621,Thrissur,kerala,6047.0,11,High Risk
10.527668126570353,79.50780541926123,North,delhi,3635.0,6,Medium Risk
10.60262025,79.7619347994777,Nagapattinam,tamil nadu,937.0,6,Low Risk
10.65903695,79.20142776213416,Thanjavur,tamil nadu,1347.0,6,Low Risk
10.6878621,79.49794371209825,Thiruvarur,tamil nadu,724.0,6,Low Risk
10.78736915,76.47421718925105,Palakkad,kerala,4087.0,6,Medium Risk
